publisher,developers,id,app_name,price,specs,genres,early_access,tags,owners,review_score,release_date
Cheese and Bacon Games,Cheese and Bacon Games,431610,Hubert's Island Adventure: Mouse o' War,Under $10,"Single-player, Multi-player, PvP, Split Screen PvP, Co-op, Co-op, Co-op, Partial controller support, Remote Play Together, Family Sharing","Action, Adventure, Indie",FALSE,"Indie, Adventure, Layed-Back, Action","0 .. 20,000",83,2016-Autumn
Ivan Zanotti's MyMadnessWorks,Ivan Zanotti's MyMadnessWorks,429720,IMSCARED,Under $10,"Single-player, Steam Achievements, Family Sharing","Action, Adventure, Indie",FALSE,"Indie, Historical/Old-Times, Action, Difficult, Story-driven, Puzzle, 3D, Horror/Mystery, Unique-aspects, Single-Player, High-Quality, Adventure, First Person, Exploration","100,000 .. 200,000",93,2016-Autumn
Aqualuft Games,Aqualuft Games,362020,Queen At Arms,$10~$20,"Single-player, Steam Achievements, Family Sharing","Adventure, Casual, Indie, RPG",FALSE,"Indie, Casual, Inclusivity, RPG, Unique-Style, Adventure","0 .. 20,000",87,2016-Autumn
 Big Fish Games,Big Fish Studios,438560,Mystery Case Files®: Escape from Ravenhearst™,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Casual",FALSE,"Adventure, Casual, Puzzle","20,000 .. 50,000",61,2016-Autumn
YFC games,YFC games,440740,Epic battles within 5 seconds!,Free,"Single-player, Steam Achievements, Steam Leaderboards","Action, Casual, Free to Play, Indie, Strategy",FALSE,"Indie, Layed-Back, Casual, Action, Multiplayer, Strategy","100,000 .. 200,000",55,2016-Autumn
Qumaron,Qumaron,417410,Northern Tale,Under $10,"Single-player, Family Sharing","Adventure, Casual, Simulation, Strategy",FALSE,"Adventure, Casual, Strategy, Realistic/Sim","0 .. 20,000",92,2016-Autumn
Ubisoft Entertainment,Climax Studios,359600,Assassin’s Creed® Chronicles: Russia,Under $10,"Single-player, Steam Trading Cards, Partial controller support, Family Sharing","Action, Adventure",FALSE,"Layed-Back, 2D, Historical/Old-Times, Action, Rogue, Single-Player, Adventure, Exploration","100,000 .. 200,000",59,2016-Autumn
Plug In Digital,Moving Player,431290,Level 22: Gary’s Misadventures - 2016 Edition,Under $10,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing","Action, Indie",FALSE,"Indie, Unique-aspects, Rogue, Action","0 .. 20,000",66,2016-Autumn
Samuel Sprague,Samuel Sprague,440470,Absence,Under $1,"Single-player, Steam Achievements, Partial controller support, Family Sharing","Action, Adventure",FALSE,"Adventure, Horror/Mystery, Action","20,000 .. 50,000",30,2016-Autumn
Dream Catcher Chronicles,Viva Media,432780,Dream Catcher Chronicles: Manitou,Under $10,"Single-player, Family Sharing","Adventure, Casual",FALSE,"Adventure, Casual, Puzzle","0 .. 20,000",53,2016-Autumn
Vitaly Rekubratskiy,Vitaly Rekubratskiy,440770,Drawn Story,Under $10,"Single-player, Family Sharing","Adventure, Indie, Early Access",TRUE,"Indie, Adventure, Early Access","0 .. 20,000",35,2016-Autumn
GSProductions Ltd.,Skatanic Studios,314240,RPG Tycoon,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Family Sharing","Adventure, Indie, RPG, Simulation, Strategy",FALSE,"Indie, Early Access, Unique-aspects, Sandbox/Building, Realistic/Sim, RPG, Adventure, Strategy","50,000 .. 100,000",51,2016-Autumn
Caravel Games,Caravel Games,351330,DROD RPG: Tendry's Tale,Under $10,"Single-player, Steam Achievements, Captions available, Steam Cloud, Steam Leaderboards, Includes level editor, Remote Play Together, Family Sharing","Adventure, Indie, RPG, Strategy",FALSE,"Indie, Puzzle, Fantasy, RPG, Adventure, Strategy","0 .. 20,000",84,2016-Autumn
Raw Lion Workshop,Raw Lion Workshop,436950,Mosaic Maze,Under $10,"Single-player, Partial controller support, Family Sharing",Indie,FALSE,"Indie, Layed-Back, Difficult, Puzzle, High-Quality","0 .. 20,000",80,2016-Autumn
Devoga,Devoga,339440,Critical Annihilation,Free,"Single-player, Multi-player, Co-op, Co-op, Steam Achievements, Steam Workshop, Partial controller support, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together","Action, Indie, Early Access",TRUE,"Indie, Action, Early Access, Shooter, High-Quality","0 .. 20,000",88,2016-Autumn
HexWar Games,HexWar Games,431680,Nuts!: The Battle of the Bulge,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",Strategy,FALSE,"Warfare, Puzzle, Strategy","0 .. 20,000",36,2016-Autumn
Cyanide Tea,Cyanide Tea,432130,Break Chance Memento,$10~$20,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Indie",FALSE,"Indie, Adventure, Inclusivity, Unique-Style","0 .. 20,000",87,2016-Autumn
MouldyMattress,MouldyMattress,322430,Bubonic: Outbreak,Under $1,"Single-player, Family Sharing","Action, Adventure, Casual, Indie, Simulation, Strategy",FALSE,"Indie, Casual, Action, Horror/Mystery, Realistic/Sim, Adventure, Strategy","0 .. 20,000",22,2016-Autumn
Funny Games Group,Funny Games Group,393390,Cat Simulator,Free,"Single-player, Partial controller support","Action, Adventure, Casual, Indie, Simulation, Strategy, Early Access",TRUE,"Indie, Casual, Inclusivity, Action, Early Access, Horror/Mystery, Unique-aspects, Realistic/Sim, Unique-Style, Comedy, Adventure, Strategy, Exploration","20,000 .. 50,000",45,2016-Autumn
Crematorium of Time,Crematorium of Time,415860,Tactical Craft Online,Free,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases","Free to Play, Indie, Massively Multiplayer, RPG, Strategy, Early Access",TRUE,"Indie, Casual, Difficult, Early Access, Co-op, Sandbox/Building, Unique-aspects, RPG, Single-Player, Multiplayer, Strategy, Exploration","200,000 .. 500,000",48,2016-Autumn
Miris Mind,Miris Mind,433570,Side Quest,Under $10,"Single-player, Steam Achievements, Full controller support, Family Sharing","Action, Adventure, Indie",FALSE,"Indie, 2D, Historical/Old-Times, Action, 3D, Fighting, Fantasy, High-Quality, Unique-Style, Comedy, Adventure, Exploration","0 .. 20,000",69,2016-Autumn
Ripper Games,Ripper Games,429200,Super Helmets on Fire DX Ultra Edition Plus Alpha,Free,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards","Action, Indie",FALSE,"Indie, Layed-Back, Historical/Old-Times, Action, Difficult, Unique-aspects","0 .. 20,000",62,2016-Autumn
Green Lava Studios,Green Lava Studios,434260,My Name is Mayo,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing","Casual, Simulation",FALSE,"Indie, Layed-Back, Casual, Gore, Horror/Mystery, Unique-aspects, Single-Player, Comedy, Story-driven","100,000 .. 200,000",84,2016-Autumn
Enter Main Loop,Enter Main Loop,437880,Project Graviton,Under $10,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Stats, Remote Play Together, Family Sharing","Adventure, Casual, Indie",FALSE,"Indie, Adventure, Casual, Layed-Back","0 .. 20,000",62,2016-Autumn
Conglomerate 5,Cristian Manolachi,439930,Control Craft 2,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Partial controller support, Remote Play Together, Family Sharing","Action, Casual, Indie, Simulation, Strategy",FALSE,"Warfare, Layed-Back, 2D, Difficult, Fighting, Turn-based, Unique-aspects, Shooter, Real-Time, Comedy, Other, Strategy","50,000 .. 100,000",77,2016-Autumn
Freedomize Studio,Freedomize Studio,440760,Cube Destroyer,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Action, Indie",FALSE,"Indie, Action, Difficult, Unique-aspects, Shooter, Single-Player","100,000 .. 200,000",85,2016-Autumn
Stegalosaurus Game Development,Stegalosaurus Game Development,427930,Army of Tentacles: (Not) A Cthulhu Dating Sim,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Family Sharing","Adventure, Casual, Indie, RPG",FALSE,"Inclusivity, Horror/Mystery, Turn-based, Fantasy, RPG, High-Quality, Unique-Style, Comedy, Other, Strategy, Exploration","200,000 .. 500,000",54,2016-Autumn
Guru Games,Guru Games,436110,Medusa's Labyrinth,Free,"Single-player, Partial controller support","Action, Adventure, Free to Play, Indie",FALSE,"Indie, Action, Multiplayer, Horror/Mystery, Rogue, Single-Player, High-Quality, Adventure, First Person, Exploration","500,000 .. 1,000,000",77,2016-Autumn
Pillow Fight,Pillow Fight,435300,We Know the Devil,Under $10,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Adventure, Casual, Indie",FALSE,"Indie, Casual, Inclusivity, 2D, Horror/Mystery, Single-Player, High-Quality, Unique-Style, Adventure, Story-driven","0 .. 20,000",94,2016-Autumn
Tactichaos,Tactichaos,436510,Worlds of Chaos: Invasion,$10~$20,"Single-player, Family Sharing","Action, Indie, RPG, Strategy, Early Access",TRUE,"Indie, Action, Early Access, Fantasy, RPG, High-Quality, Strategy, Exploration","0 .. 20,000",50,2016-Autumn
Targem Games ,Targem Games,394260,Dance Magic,Under $10,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing","Action, Casual, Indie",FALSE,"Indie, Casual, Historical/Old-Times, Gore, Action, 3D, PvE, Fighting, PvP, Realistic/Sim, Sports, Single-Player, High-Quality, Unique-Style, Multiplayer","0 .. 20,000",62,2016-Autumn
Perro Electrico,Perro Electrico,365510,Flip,Free,"Single-player, Steam Achievements, Stats","Casual, Indie",FALSE,"Indie, Puzzle, Casual","0 .. 20,000",92,2016-Autumn
Galvanic Games,Galvanic Games,418360,Gurgamoth,Under $10,"Single-player, Multi-player, PvP, Split Screen PvP, Co-op, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing","Action, Indie",FALSE,"Indie, 2D, Action, Fighting, Multiplayer","0 .. 20,000",80,2016-Autumn
Bitlock Studio,Vorobiov Vadym,444410,Find Out,Under $1,"Single-player, Steam Trading Cards, Partial controller support, Family Sharing","Action, Adventure, Casual, Indie, Simulation",FALSE,"Indie, Casual, Action, Realistic/Sim, Adventure","200,000 .. 500,000",56,2016-Autumn
cwade games,"Collin, Kaleb, & Jeya",404850,DARTHY,Under $1,"Single-player, Steam Trading Cards, Family Sharing","Casual, Indie",FALSE,"Indie, Layed-Back, Casual, Puzzle, Unique-aspects, Unique-Style","20,000 .. 50,000",83,2016-Autumn
Headup Publishing,Incodra,406940,Dub Dash,Under $10,"Single-player, Multi-player, Co-op, Steam Achievements, Partial controller support, Steam Cloud, Remote Play Together, Family Sharing","Action, Indie, Racing",FALSE,"Indie, Action, Difficult, High-Quality, Multiplayer, Racing","20,000 .. 50,000",70,2016-Autumn
IQ Publishing,Static Dreams,425760,EGO Protocol,Under $10,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Casual, Indie",FALSE,"Indie, Layed-Back, Casual, Puzzle, Unique-aspects, Adventure, Sci-fi","0 .. 20,000",69,2016-Autumn
Monkeybin AS,Monkeybin AS,399530,Hyspherical 2,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","Casual, Indie, Strategy",FALSE,"Indie, Puzzle, Casual, Strategy","0 .. 20,000",78,2016-Autumn
Akamari Games,Kamil Szczepanik,440950,Story Of the Survivor,Under $10,"Single-player, Steam Achievements, Partial controller support, Family Sharing","Action, Adventure, Indie, RPG, Simulation",FALSE,"Indie, Warfare, Action, Difficult, Sandbox/Building, Fantasy, Realistic/Sim, Unique-aspects, RPG, Unique-Style, Adventure","0 .. 20,000",58,2016-Autumn
Disney,Sanzaru Games Inc.,392000,TRON RUN/r,$10~$20,"Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Partial controller support, Family Sharing","Action, Racing",FALSE,"Action, Unique-aspects, Single-Player, High-Quality, Sci-fi, Racing","20,000 .. 50,000",80,2016-Autumn
RIVER CROW STUDIO,Sleepy Duck,438270,Learn Japanese To Survive! Hiragana Battle,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Indie, RPG",FALSE,"Indie, Inclusivity, Puzzle, Turn-based, RPG, Single-Player, Unique-Style, Adventure","100,000 .. 200,000",91,2016-Autumn
Digital Crafter,Digital Crafter,434680,Lamia's Game Room,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Casual, Indie",FALSE,"Indie, Puzzle, Casual, Unique-Style","20,000 .. 50,000",63,2016-Autumn
LabLike Sp. z o.o.,LabLike Sp. z o.o.,437710,Magic Flute,Under $10,"Single-player, Steam Achievements, Family Sharing","Adventure, Casual, Indie",FALSE,"Indie, Adventure, Casual, Puzzle","0 .. 20,000",76,2016-Autumn
Zenisport,Zenisport,402150,String Theory,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Steam Leaderboards, Family Sharing",Casual,FALSE,"Indie, Puzzle, Casual, High-Quality","0 .. 20,000",76,2016-Autumn
Silver Cow Studio,Silver Cow Studio,443980,Burokku Girls,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Indie, Simulation",FALSE,"Indie, Gore, Mature, Unique-aspects, Realistic/Sim, Single-Player, Unique-Style, Adventure","0 .. 20,000",65,2016-Autumn
Signal Studios,Signal Studios,262120,Toy Soldiers: Complete,$10~$20,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","Action, Casual, Indie, Simulation, Strategy",FALSE,"Indie, Warfare, Layed-Back, Casual, Action, Unique-aspects, Realistic/Sim, Shooter, Single-Player, Real-Time, Multiplayer, Strategy, Co-op","100,000 .. 200,000",77,2016-Autumn
Walter Machado,Walter Machado,444940,UBERMOSH:BLACK,Under $1,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Family Sharing","Action, Indie",FALSE,"Indie, Inclusivity, Historical/Old-Times, Action, Difficult, Unique-aspects, Rogue, Shooter, Unique-Style, Sci-fi","100,000 .. 200,000",83,2016-Autumn
Steven Colling,Steven Colling,434820,Brushwood Buddies,Under $10,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","Casual, Indie",FALSE,"Indie, Casual, Puzzle, Unique-aspects, Single-Player, Unique-Style","50,000 .. 100,000",83,2016-Autumn
Daybreak Game Company,Daybreak Game Company,433850,Z1 Battle Royale,Free,"Multi-player, PvP, Online PvP, In-App Purchases","Action, Adventure, Free to Play, Massively Multiplayer",FALSE,"Gore, Casual, Third Person, Action, Difficult, Co-op, Early Access, PvP, Fantasy, Shooter, Adventure, Multiplayer, First Person, Exploration","10,000,000 .. 20,000,000",55,2018-Autumn
Workyrie Game Studio,Workyrie Game Studio,434860,Wanderjahr,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Partial controller support, Steam Cloud, Family Sharing",RPG,FALSE,"RPG, Unique-Style","0 .. 20,000",81,2016-Autumn
Nacon,Cyanide Studio,412560,Pro Basketball Manager 2016 - US Edition,Under $10,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",Sports,FALSE,Sports,"0 .. 20,000",25,2016-Autumn
Leikir Studio,Leikir Studio,430190,Wondershot,Under $10,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing",Indie,FALSE,"Indie, Multiplayer, Co-op","0 .. 20,000",86,2016-Autumn
Artifex Mundi,Gogii Games,429610,The Emerald Maiden: Symphony of Dreams,$10~$20,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing","Adventure, Casual",FALSE,"Indie, Casual, Inclusivity, 2D, Puzzle, Horror/Mystery, Fantasy, Single-Player, High-Quality, Adventure, Story-driven","50,000 .. 100,000",85,2016-Autumn
Rooted Concepts,Rooted Concepts,444160,Bonsai,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Family Sharing","Casual, Indie, Simulation",FALSE,"Indie, Realistic/Sim, Casual","50,000 .. 100,000",54,2016-Autumn
Peaksel,Peaksel,444430,Zeus vs Monsters - Math Game for kids,Under $10,"Single-player, Family Sharing","Action, Casual",FALSE,"Indie, Layed-Back, 2D, Casual, Historical/Old-Times, Third Person, Action, Difficult, Gore, Puzzle, Inclusivity, Single-Player, Shooter, Adventure, Story-driven","20,000 .. 50,000",74,2016-Autumn
Ndemic Creations,Ndemic Creations,246620,Plague Inc: Evolved,Under $10,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Partial controller support, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on Tablet, Family Sharing","Casual, Indie, Simulation, Strategy",FALSE,"Indie, Warfare, Layed-Back, Casual, 2D, Difficult, Early Access, Sandbox/Building, Fantasy, Realistic/Sim, Single-Player, High-Quality, Multiplayer, Strategy, Co-op","2,000,000 .. 5,000,000",94,2016-Autumn
BlauwPrint,BlauwPrint,433490,Super Flippin' Phones,Under $10,"Single-player, Steam Achievements, Full controller support, Family Sharing","Action, Casual, Indie",FALSE,"Indie, Layed-Back, Casual, Action, Difficult, Unique-aspects, Comedy","0 .. 20,000",81,2016-Autumn
neko.works,neko.works,444000,Super Night Riders,Under $10,"Single-player, Steam Achievements, Partial controller support, Steam Cloud, Steam Leaderboards, Family Sharing","Indie, Racing, Simulation, Sports",FALSE,"Indie, Layed-Back, Historical/Old-Times, Inclusivity, Difficult, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Unique-Style, Racing","0 .. 20,000",85,2016-Autumn
Volens Nolens Games,Skinny Jean Death Studios,434530,Flobe,Under $1,"Single-player, Steam Achievements, Steam Trading Cards, Partial controller support, Family Sharing","Casual, Indie, Strategy, Early Access",TRUE,"Indie, Casual, 2D, Puzzle, Early Access, Realistic/Sim, Single-Player, Comedy, Strategy","50,000 .. 100,000",83,2016-Autumn
Wild Rooster,Rusty Moyher,429690,Astro Duel,Under $10,"Single-player, Multi-player, PvP, Split Screen PvP, Co-op, Co-op, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Indie",FALSE,"Indie, 2D, Historical/Old-Times, Gore, Action, Difficult, Fighting, Unique-aspects, Sci-fi, Shooter, Comedy, Multiplayer, Co-op","0 .. 20,000",95,2016-Autumn
Cake Collective Games,Cake Collective Games,442290,Pointless,Free,"Single-player, Steam Achievements, Steam Trading Cards",Indie,FALSE,"Indie, Layed-Back, Historical/Old-Times","20,000 .. 50,000",63,2016-Autumn
None - Independent,Intravenous Software,296010,NeonXSZ,Under $10,"Single-player, Partial controller support, Family Sharing","Action, Indie, RPG",FALSE,"Indie, Action, Difficult, Sandbox/Building, Rogue, RPG, Shooter, Single-Player, Other, Comedy, Sci-fi, First Person, Exploration","0 .. 20,000",81,2016-Autumn
"Spark Plug Games, LLC","Spark Plug Games, LLC",434070,Plight of the Zombie,Under $10,"Single-player, Family Sharing",Indie,FALSE,"Indie, Fantasy, Puzzle","0 .. 20,000",78,2016-Autumn
DNVR Prod,DNVR Prod,441870,OutDrive,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Partial controller support, Steam Leaderboards, Family Sharing","Casual, Indie, Racing",FALSE,"Indie, Casual, Historical/Old-Times, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Sci-fi, Racing","200,000 .. 500,000",76,2016-Autumn
Tonguç Bodur,Tonguç Bodur,438340,Drizzlepath: Genie,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Partial controller support, Family Sharing","Adventure, Casual, Indie",FALSE,"Indie, Casual, Inclusivity, Story-driven, 3D, Horror/Mystery, Realistic/Sim, Single-Player, High-Quality, Adventure, First Person, Exploration","0 .. 20,000",57,2016-Autumn
Butterflyware,Butterflyware,444580,ALONE IN SPACE,Under $10,"Single-player, Partial controller support, Family Sharing",Adventure,FALSE,"Indie, Layed-Back, Casual, Story-driven, Difficult, Action, Puzzle, Horror/Mystery, Realistic/Sim, Single-Player, High-Quality, Adventure, Sci-fi, First Person, Exploration","20,000 .. 50,000",53,2016-Autumn
Burak Dabak,Burak Dabak,440690,Mesel,Under $10,"Single-player, Steam Achievements, Family Sharing","Action, Adventure, Indie",FALSE,"Indie, Action, Puzzle, Horror/Mystery, Adventure, Exploration","20,000 .. 50,000",71,2016-Autumn
CashcowGames,CashcowGames,354280,ChaosTower,Under $10,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Action, Casual, Indie, Simulation",FALSE,"Layed-Back, Casual, 2D, Action, Difficult, Puzzle, Sandbox/Building, Realistic/Sim, Single-Player, Unique-Style, Comedy, Strategy","0 .. 20,000",85,2016-Autumn
Headup Publishing,ClockStone,419080,Bridge Constructor Stunts,Under $10,"Single-player, Steam Achievements, Partial controller support, Steam Cloud, Steam Leaderboards, Family Sharing",Simulation,FALSE,"Sandbox/Building, Realistic/Sim, Puzzle, Indie","50,000 .. 100,000",60,2016-Autumn
GameUS Inc,GameUS Inc,440810,1943 Megami Strike,Under $10,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Family Sharing","Action, Casual, Indie",FALSE,"Indie, Casual, Action, Shooter, Unique-Style","20,000 .. 50,000",39,2016-Autumn
Radioactive-Software,Radioactive-Software,336210,Just Death,$10~$20,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing","Action, Indie, Early Access",TRUE,"Indie, Early Access, Action","0 .. 20,000",45,2016-Autumn
SA Industry,EGAMER,444220,Asteroid Bounty Hunter,Under $10,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Stats, Steam Leaderboards, Family Sharing","Action, Adventure, Casual, Indie, RPG",FALSE,"Indie, Casual, Action, Sci-fi, RPG, Shooter, Unique-Style, Adventure","200,000 .. 500,000",65,2016-Autumn
Mongoose Net Ltd.,ComixPlay,425040,ComixPlay #1: The Endless Incident,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Adventure, Indie",FALSE,"Indie, Adventure","0 .. 20,000",94,2016-Autumn
Bugbyte Ltd.,Bugbyte Ltd.,396480,Battlevoid: Harbinger,Under $10,"Single-player, Steam Achievements, Steam Cloud, Family Sharing","Action, Indie, Simulation, Strategy",FALSE,"Indie, 2D, Action, Difficult, Turn-based, Rogue, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Real-Time, Sci-fi, Strategy, Exploration","100,000 .. 200,000",79,2016-Autumn
Midnight City,Mario von Rickenbach,268360,Krautscape,Under $10,"Single-player, Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards, Remote Play Together, Family Sharing","Indie, Racing",FALSE,"Indie, Multiplayer, Racing","20,000 .. 50,000",66,2016-Autumn
方块游戏(CubeGame),DOMO Studio,427030,Xuan-Yuan Sword: The Gate of Firmament,$10~$20,"Single-player, Steam Achievements, Steam Trading Cards, Partial controller support, Steam Cloud, Family Sharing",RPG,FALSE,"Historical/Old-Times, Romance, Fantasy, Single-Player, RPG, High-Quality, Unique-Style, Adventure, Story-driven","20,000 .. 50,000",72,2016-Autumn
KO_OP mode,Paloma Dawkins,423750,Gardenarium,Under $10,"Single-player, Family Sharing","Casual, Indie",FALSE,"Indie, Casual","0 .. 20,000",75,2016-Autumn
Killerfish Games,Killerfish Games,420440,Atlantic Fleet,Under $10,"Single-player, Includes level editor, Family Sharing","Simulation, Strategy",FALSE,"Warfare, Historical/Old-Times, Turn-based, Realistic/Sim, Single-Player, Strategy","50,000 .. 100,000",85,2016-Autumn
Forever Entertainment S. A.,Nawia Games,447890,Cat on a Diet,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Steam Leaderboards, Family Sharing","Action, Casual, Indie",FALSE,"Indie, Casual, Action, Puzzle, Realistic/Sim, Comedy","100,000 .. 200,000",81,2016-Autumn
Light Step Games,Light Step Games,442260,Sprinter,Under $10,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Action, Indie",FALSE,"Indie, Action","0 .. 20,000",82,2016-Autumn
Party Robot Studio,Party Robot Studio,428530,Machine Gun Train Run,Under $1,"Single-player, Multi-player, Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play Together, Family Sharing","Action, Indie",FALSE,"Indie, Shooter, Action","0 .. 20,000",65,2016-Autumn
Farjay.com,Farjay.com,395850,Bear Simulator,$10~$20,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing","Action, Adventure, Indie, Simulation",FALSE,"Indie, Casual, Gore, Mature, Action, Story-driven, Difficult, Horror/Mystery, Unique-aspects, Realistic/Sim, Single-Player, Comedy, Adventure, First Person, Exploration","20,000 .. 50,000",86,2016-Autumn
Playa Games GmbH,Playa Games GmbH,438040,Shakes and Fidget,Free,"Single-player, Multi-player, MMO, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases","Adventure, Casual, Indie, Massively Multiplayer, RPG, Strategy, Free to Play",FALSE,"Indie, Layed-Back, Casual, Historical/Old-Times, Multiplayer, Fantasy, RPG, High-Quality, Single-Player, Comedy, Adventure, Strategy, Story-driven","1,000,000 .. 2,000,000",93,2016-Autumn
Targon Studios,Targon Studios,445170,The Haunting of Billy Classic,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Action, Adventure, Casual, Indie",FALSE,"Indie, Casual, Action, Horror/Mystery, Adventure","20,000 .. 50,000",66,2016-Autumn
Religious Studios,Religious Studios,443530,Adam and Eve: The Game - Chapter 1,Under $10,"Single-player, Full controller support, Family Sharing","Action, Adventure, Casual, Indie",FALSE,"Indie, Layed-Back, Casual, Action, Adventure","0 .. 20,000",24,2016-Autumn
Modern Visual Arts Laboratory,Modern Visual Arts Laboratory,430960,Lucy -The Eternity She Wished For-,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Casual, Indie, Simulation",FALSE,"Indie, Warfare, 2D, Casual, Romance, Fantasy, Realistic/Sim, Exploration, Single-Player, High-Quality, Unique-Style, Adventure, Sci-fi, Story-driven","200,000 .. 500,000",95,2016-Autumn
TeamWaterFly,TeamWaterFly,442000,Alone K.W.,Under $1,"Single-player, Steam Trading Cards, Family Sharing","Adventure, Indie",FALSE,"Indie, Adventure, Horror/Mystery","50,000 .. 100,000",34,2016-Autumn
Balcony Softworks,Balcony Softworks,424250,Balrum,Under $10,"Single-player, Steam Achievements, Family Sharing","Adventure, Indie, RPG, Strategy",FALSE,"Indie, 2D, Historical/Old-Times, Difficult, Turn-based, Sandbox/Building, Unique-aspects, Fantasy, RPG, Single-Player, Adventure, Strategy, Exploration","50,000 .. 100,000",79,2016-Autumn
ArcticFox223,ArcticFox223,448750,Infinity Saga,Under $10,"Single-player, Steam Trading Cards, Family Sharing","Action, Adventure, Casual, Indie, RPG, Strategy",FALSE,"Indie, Casual, Action, RPG, Adventure, Strategy","20,000 .. 50,000",68,2016-Autumn
Flox Studios ,Flox Studios,401690,Life in Bunker,$10~$20,"Single-player, Steam Achievements, Stats, Family Sharing","Simulation, Strategy",FALSE,"Indie, Warfare, Difficult, Sandbox/Building, Unique-aspects, Realistic/Sim, Single-Player, High-Quality, Strategy","50,000 .. 100,000",60,2016-Autumn
Xenoaisam Studio,XenoAisam,440340,Banzai Escape,Under $10,"Single-player, Steam Achievements, Steam Trading Cards, Family Sharing",Action,FALSE,"Warfare, 2D, Inclusivity, Gore, Third Person, Action, Rogue, Unique-aspects, Realistic/Sim, Shooter, Single-Player, Unique-Style, Sci-fi, Exploration","0 .. 20,000",68,2016-Autumn
